0.50164461,0.04750562,0.04738235,0.04785419,0.04765725,0.05085182,0.04722476,0.04771185,0.04830050,0.04758048
0.55102110,0.09406686,0.09453416,0.09626007,0.09405255,0.09725499,0.09720302,0.09466338,0.09544468,0.09436202
0.59780025,0.14037132,0.14205790,0.14367604,0.14051867,0.14389038,0.14424109,0.14160275,0.14252067,0.14128447
0.64410734,0.18737721,0.18957925,0.19093561,0.18693638,0.19049478,0.19102883,0.18821883,0.18939877,0.18803501
0.69172144,0.23376703,0.23709393,0.23817539,0.23347759,0.23691154,0.23757124,0.23511076,0.23629141,0.23491073
0.73956347,0.28043771,0.28408933,0.28557944,0.27997708,0.28736043,0.28416634,0.28206515,0.28329277,0.28156614
0.78675556,0.32793450,0.32543206,0.33638406,0.32975578,0.33781409,0.33078289,0.33071542,0.33106256,0.32824636
0.83419681,0.37538886,0.37272787,0.37879801,0.37635255,0.38532710,0.37749267,0.37797499,0.37845659,0.37490392
0.88224697,0.42226219,0.42077923,0.42125058,0.42603970,0.43231869,0.42465544,0.42431426,0.42564225,0.42186284
0.92995620,0.46913695,0.46818256,0.46334982,0.47242785,0.48207879,0.47099066,0.47407365,0.47267771,0.46851492
0.97722888,0.51621771,0.51550865,0.51976347,0.51860356,0.52856112,0.51756406,0.52442980,0.51941848,0.51565385
1.02485323,0.56256843,0.56274414,0.56406713,0.56504607,0.57500648,0.56435156,0.57179141,0.56672311,0.56221914
1.07313132,0.60907698,0.61004925,0.60835886,0.61131263,0.62178326,0.61196256,0.61830163,0.61363149,0.60892081
1.12081885,0.65628004,0.65715122,0.65288734,0.65771484,0.66830659,0.65808749,0.66509604,0.66054821,0.65568995
1.16763091,0.70393753,0.70448136,0.69741726,0.70436454,0.71473837,0.70437479,0.71238589,0.70769310,0.70223546
1.21571732,0.75106049,0.75227523,0.74168253,0.75059628,0.76135373,0.75085497,0.75949454,0.75577974,0.74907041
1.26378822,0.79813600,0.80033922,0.78622389,0.79734850,0.80777907,0.79776025,0.80620170,0.80323195,0.79569745
1.31076717,0.84541392,0.84892726,0.83194351,0.84417129,0.85459781,0.84418106,0.85353971,0.84972167,0.84239244
1.35892987,0.89326859,0.89619732,0.87814999,0.89071894,0.90211487,0.89066100,0.90045214,0.89609742,0.88930058
1.40674496,0.94061303,0.94360662,0.92510819,0.93698883,0.94892001,0.93811798,0.94782901,0.93743300,0.93719506
1.45452166,0.98750472,0.99128151,0.97307515,0.98365021,0.99547005,0.98466039,0.99485755,0.98434162,0.98419285
