0.49074006,0.04786634,0.04835057,0.04688048,0.04734492,0.04707217,0.04763865,0.04790807,0.04645681,0.04296589
0.53989506,0.09598398,0.09509921,0.09389019,0.09358573,0.09327245,0.09417200,0.09516191,0.09264994,0.08533955
0.58871245,0.14334106,0.14288354,0.14151192,0.13927460,0.13970375,0.14214253,0.14218569,0.13953805,0.12771797
0.63457799,0.19107175,0.18946958,0.18814349,0.18532538,0.18644166,0.18965960,0.18927050,0.18654394,0.17019749
0.67709589,0.23877406,0.23686647,0.23454356,0.23274970,0.23262429,0.23669982,0.23654985,0.23353863,0.21250415
0.72028232,0.28585315,0.28403592,0.28151703,0.27962494,0.27888918,0.28512239,0.28355169,0.28000927,0.25582099
0.76297402,0.33309579,0.33195162,0.32811141,0.32575369,0.32488894,0.33160090,0.33084631,0.32635236,0.30301070
0.80533528,0.37963033,0.37958860,0.37434244,0.37227726,0.37177300,0.37817430,0.37803602,0.37338877,0.34978771
0.84724116,0.42802620,0.42744756,0.42165279,0.41857958,0.41848898,0.42829895,0.42529178,0.41970277,0.39718723
0.89762139,0.47581983,0.47475195,0.46819901,0.46508145,0.46496630,0.46949148,0.47289443,0.46591616,0.44464016
0.94279671,0.52304602,0.52213144,0.51486659,0.51198626,0.51105046,0.51147437,0.51982522,0.51210332,0.49231410
0.98585129,0.57215524,0.57014298,0.56117415,0.55833912,0.55748320,0.55398393,0.56680441,0.55834889,0.53923273
1.02910399,0.61983323,0.61773205,0.60776711,0.60460114,0.60476613,0.60010886,0.61454439,0.60489750,0.58620262
1.07255983,0.66695595,0.66663313,0.65427756,0.65076208,0.65168214,0.65087175,0.66156602,0.65125871,0.63328552
1.11665964,0.71528840,0.71363568,0.70071387,0.69787645,0.69773889,0.69495583,0.70876455,0.69736362,0.68023610
1.16043186,0.76272249,0.76023507,0.74704051,0.74407506,0.74421954,0.73880196,0.75581646,0.74357367,0.72726536
