1.43536520,1.39998353,1.39732170,1.45979321,1.42096245,1.42845583,1.40575504,1.54122472,1.44511032,1.48591542
1.43332994,1.39974141,1.39641559,1.45834863,1.41977262,1.42739129,1.40492249,1.53290963,1.44298315,1.48156154
1.43137789,1.39950490,1.39555860,1.45692587,1.41861916,1.42635453,1.40413594,1.52496457,1.44093227,1.47750735
1.42950439,1.39927363,1.39474761,1.45552647,1.41749871,1.42534471,1.40339208,1.51737797,1.43894851,1.47372139
1.42770684,1.39904737,1.39397931,1.45415068,1.41641104,1.42436111,1.40268791,1.51011860,1.43703187,1.47018123
1.42598259,1.39882600,1.39325202,1.45279765,1.41535568,1.42340326,1.40202034,1.50325441,1.43517387,1.46686363
1.42432678,1.39860988,1.39256227,1.45146775,1.41433144,1.42247045,1.40138936,1.49680531,1.43337643,1.46374989
1.42273653,1.39839792,1.39190817,1.45016074,1.41333973,1.42156184,1.40079093,1.49073756,1.43163931,1.46082175
1.42120659,1.39819086,1.39128745,1.44887590,1.41237628,1.42067683,1.40022349,1.48501599,1.42996168,1.45806360
1.41973734,1.39798796,1.39069796,1.44761527,1.41144109,1.41981506,1.39968491,1.47963536,1.42833793,1.45546091
1.41832411,1.39778936,1.39013767,1.44637680,1.41053498,1.41897571,1.39917397,1.47458994,1.42677128,1.45300114
1.41696274,1.39759517,1.38960505,1.44516051,1.40965617,1.41815794,1.39868927,1.46985960,1.42525458,1.45067191
1.41565156,1.39740491,1.38909864,1.44396520,1.40880132,1.41736186,1.39822972,1.46542656,1.42378438,1.44846308
1.41438842,1.39721870,1.38861668,1.44279051,1.40797138,1.41658664,1.39779246,1.46124339,1.42236197,1.44636583
1.41316879,1.39703631,1.38815784,1.44163716,1.40716696,1.41583157,1.39737737,1.45730293,1.42098570,1.44437194
1.41199291,1.39685750,1.38772070,1.44050574,1.40638578,1.41509604,1.39698279,1.45360255,1.41965318,1.44247437
1.41085947,1.39668214,1.38730443,1.43939376,1.40562558,1.41437984,1.39660585,1.45012975,1.41836774,1.44066632
1.40976477,1.39651060,1.38690710,1.43830061,1.40488887,1.41368246,1.39624715,1.44685781,1.41712499,1.43894088
1.40870583,1.39634240,1.38652837,1.43722713,1.40417302,1.41300309,1.39590633,1.44377863,1.41592193,1.43729270
1.40768290,1.39617741,1.38616681,1.43617356,1.40347886,1.41234124,1.39558220,1.44088483,1.41475964,1.43571711
1.40669596,1.39601541,1.38582158,1.43514013,1.40280449,1.41169691,1.39527333,1.43814731,1.41363490,1.43420875
1.40574121,1.39585662,1.38549173,1.43412375,1.40214849,1.41106939,1.39497864,1.43556452,1.41255510,1.43276393
1.40481830,1.39570093,1.38517654,1.43312573,1.40151274,1.41045809,1.39469826,1.43311977,1.41151953,1.43137884
1.40392590,1.39554811,1.38487494,1.43214619,1.40089619,1.40986288,1.39443171,1.43080521,1.41052341,1.43004978
1.40306199,1.39539802,1.38458645,1.43118536,1.40030074,1.40928292,1.39417720,1.42861414,1.40956807,1.42877364
1.40222740,1.39525080,1.38431036,1.43024373,1.39972472,1.40871847,1.39393306,1.42653871,1.40865290,1.42754734
1.40141940,1.39510655,1.38404608,1.42932069,1.39916575,1.40816867,1.39369953,1.42456353,1.40777862,1.42636836
1.40063763,1.39496458,1.38379264,1.42841518,1.39862514,1.40763307,1.39347625,1.42269135,1.40694201,1.42523372
1.39988112,1.39482522,1.38354981,1.42752790,1.39810133,1.40711141,1.39326346,1.42091358,1.40614343,1.42414129
1.39914858,1.39468849,1.38331687,1.42665792,1.39759386,1.40660357,1.39306056,1.41922951,1.40537846,1.42308915
1.39843953,1.39455390,1.38309336,1.42580521,1.39710331,1.40610862,1.39286625,1.41762900,1.40464747,1.42207479
1.39775288,1.39442205,1.38287890,1.42497051,1.39662778,1.40562689,1.39267969,1.41610444,1.40394914,1.42109668
1.39708734,1.39429200,1.38267291,1.42415285,1.39616656,1.40515769,1.39250052,1.41465378,1.40328205,1.42015314
1.39644122,1.39416432,1.38247490,1.42335200,1.39571965,1.40470064,1.39232814,1.41326749,1.40264487,1.41924226
1.39581609,1.39403892,1.38228464,1.42256677,1.39528799,1.40425551,1.39216197,1.41194379,1.40203631,1.41836309
1.39520955,1.39391565,1.38210154,1.42179596,1.39487112,1.40382206,1.39200175,1.41067851,1.40145624,1.41751337
1.39462113,1.39379418,1.38192534,1.42104018,1.39446795,1.40339971,1.39184868,1.40947044,1.40090191,1.41669273
1.39404941,1.39367485,1.38175583,1.42029822,1.39407814,1.40298843,1.39170086,1.40831804,1.40037227,1.41589940
1.39349544,1.39355755,1.38159251,1.41957080,1.39370096,1.40258825,1.39155841,1.40721548,1.39986730,1.41513252
1.39295852,1.39344192,1.38143528,1.41885757,1.39333558,1.40219808,1.39142144,1.40615880,1.39938474,1.41439033
1.39243698,1.39332807,1.38128328,1.41815925,1.39298236,1.40181816,1.39128876,1.40514553,1.39892447,1.41367304
1.39193141,1.39321578,1.38113701,1.41747510,1.39263988,1.40144801,1.39116085,1.40417540,1.39848542,1.41297841
1.39144027,1.39310563,1.38099575,1.41680324,1.39230728,1.40108764,1.39103734,1.40325069,1.39806640,1.41230667
1.39096308,1.39299643,1.38085961,1.41614485,1.39198577,1.40073657,1.39091802,1.40236628,1.39766705,1.41165602
1.39049947,1.39288938,1.38072777,1.41549850,1.39167428,1.40039468,1.39080238,1.40151870,1.39728594,1.41102624
1.39004958,1.39278364,1.38060045,1.41486478,1.39137232,1.40006173,1.39069057,1.40070629,1.39692295,1.41041625
